date,climate_only_comments,covid_only_comments,co_mention_comments,co_mention_share_among_climate_comments,climate_only_comments_ma7,co_mention_share_among_climate_comments_ma7
2020-08-10,1474,38673,156,0.09570552147239264,1506.857142857143,0.11619547363843996
2020-08-11,1610,40893,177,0.09904868494683827,1516.7142857142858,0.11151228778577502
2020-08-12,1652,38249,195,0.10557661072008663,1493.2857142857142,0.10428982803203272
2020-08-13,1530,38846,183,0.10683012259194395,1484.4285714285713,0.1046786959350703
2020-08-14,1557,37294,180,0.10362694300518134,1481.2857142857142,0.10271340016219396
2020-08-15,1547,30666,162,0.09479227618490345,1514.7142857142858,0.10117146375108442
2020-08-16,1382,31050,162,0.10492227979274611,1536.0,0.10150034838772748
2020-08-17,1542,34578,165,0.09666080843585237,1545.7142857142858,0.101636817953936
2020-08-18,1611,35023,195,0.1079734219269103,1545.857142857143,0.10291178037966058
2020-08-19,2040,33273,143,0.06550618415025194,1601.2857142857142,0.09718743372682706
2020-08-20,1830,34996,205,0.10073710073710074,1644.142857142857,0.09631700203327805
2020-08-21,1641,32922,205,0.11105092091007585,1656.142857142857,0.09737757030540582
2020-08-22,1362,28486,147,0.09741550695825049,1629.7142857142858,0.09775231755874111
2020-08-23,1512,28746,149,0.0897049969897652,1648.2857142857142,0.09557842001545813
2020-08-24,1735,34444,194,0.10057024364955935,1675.857142857143,0.09613691076027342
2020-08-25,1625,33765,188,0.10369553226696084,1677.857142857143,0.09552578366599491
2020-08-26,1804,33974,161,0.08193384223918575,1644.142857142857,0.09787259196441403
2020-08-27,1866,32496,205,0.09898599710284886,1649.2857142857142,0.09762243430237805
2020-08-28,1482,32453,170,0.10290556900726393,1626.5714285714287,0.09645881260197633
2020-08-29,1312,27217,130,0.09015256588072122,1619.4285714285713,0.09542124959090073
2020-08-30,1264,28737,169,0.11793440334961619,1584.0,0.0994540219280223
2020-08-31,1326,34806,161,0.10827168796234028,1525.5714285714287,0.10055422825841957
2020-09-01,1558,33510,183,0.10511200459506032,1516.0,0.10075658144814807
2020-09-02,1677,38116,173,0.09351351351351352,1497.857142857143,0.10241082020162347
2020-09-03,1647,35365,169,0.09306167400881057,1466.5714285714287,0.10156448833104657
2020-09-04,1400,31346,162,0.10371318822023047,1454.857142857143,0.1016798625043275
2020-09-05,1275,25322,145,0.10211267605633803,1449.5714285714287,0.10338844967227277
2020-09-06,1417,26498,149,0.09514687100893997,1471.4285714285713,0.10013308790931903
2020-09-07,1896,27555,153,0.0746705710102489,1552.857142857143,0.09533292834473453
2020-09-08,2127,31620,201,0.08634020618556701,1634.142857142857,0.09265124285766406
2020-09-09,2076,34055,144,0.06486486486486487,1691.142857142857,0.08855857876499997
2020-09-10,3070,36133,281,0.08385556550283498,1894.4285714285713,0.08724342040700347
2020-09-11,2682,34351,212,0.07325501036627505,2077.5714285714284,0.08289225214215269
2020-09-12,2775,28549,241,0.07990716180371353,2291.8571428571427,0.07972003582034919
2020-09-13,2740,27898,219,0.0740114903683677,2480.8571428571427,0.07670069572883886
2020-09-14,3213,32845,283,0.08094965675057209,2669.0,0.07759770797745646
