date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death,climate_ma7,deaths_ma7
2020-05-22,1131,35776,163,37070,12.59659969088099,1374,1213.2857142857142,1308.142857142857
2020-05-23,1120,30655,125,31900,10.040160642570282,1083,1214.7142857142858,1185.2857142857142
2020-05-24,1103,32335,127,33565,10.32520325203252,1810,1208.142857142857,1222.5714285714287
2020-05-25,1121,33620,161,34902,12.558502340093602,937,1182.2857142857142,1179.4285714285713
2020-05-26,1532,36866,162,38560,9.563164108618654,788,1204.5714285714287,1159.5714285714287
2020-05-27,1291,34857,137,36285,9.593837535014009,687,1220.142857142857,1122.5714285714287
2020-05-28,1179,35532,120,36831,9.237875288683602,811,1211.0,1070.0
2020-05-29,974,32252,167,33393,14.636283961437336,1285,1188.5714285714287,1057.2857142857142
2020-05-30,933,27673,95,28701,9.241245136186771,1251,1161.857142857143,1081.2857142857142
2020-05-31,967,31382,126,32475,11.52790484903934,1051,1142.4285714285713,972.8571428571429
2020-06-01,1112,34885,125,36122,10.105092966855295,906,1141.142857142857,968.4285714285714
2020-06-02,1132,33265,152,34549,11.838006230529595,673,1084.0,952.0
2020-06-03,1186,34442,158,35786,11.75595238095238,691,1069.0,952.5714285714286
2020-06-04,1196,34315,125,35636,9.462528387585165,934,1071.4285714285713,970.1428571428571
2020-06-05,1176,32640,133,33949,10.16042780748663,1022,1100.2857142857142,932.5714285714286
2020-06-06,891,26855,115,27861,11.43141153081511,885,1094.2857142857142,880.2857142857143
2020-06-07,1071,26620,81,27772,7.03125,876,1109.142857142857,855.2857142857143
2020-06-08,1095,30868,113,32076,9.35430463576159,669,1106.7142857142858,821.4285714285714
2020-06-09,1187,28744,112,30043,8.622016936104696,593,1114.5714285714287,810.0
2020-06-10,1180,28800,129,30109,9.85485103132162,776,1113.7142857142858,822.1428571428571
2020-06-11,1018,28746,110,29874,9.75177304964539,827,1088.2857142857142,806.8571428571429
2020-06-12,1101,27905,103,29109,8.554817275747508,882,1077.5714285714287,786.8571428571429
2020-06-13,887,25076,86,26049,8.83864337101747,888,1077.0,787.2857142857143
2020-06-14,990,23556,92,24638,8.502772643253234,735,1065.4285714285713,767.1428571428571
2020-06-15,1096,28991,120,30207,9.86842105263158,685,1065.5714285714287,769.4285714285714
2020-06-16,1178,30940,107,32225,8.326848249027236,489,1064.2857142857142,754.5714285714286
2020-06-17,1372,31147,101,32620,6.8567549219280375,525,1091.7142857142858,718.7142857142857
2020-06-18,1178,28995,144,30317,10.892586989409985,674,1114.5714285714287,696.8571428571429
2020-06-19,1420,30880,152,32452,9.669211195928751,684,1160.142857142857,668.5714285714286
2020-06-20,1039,27809,130,28978,11.120615911035072,643,1181.857142857143,633.5714285714286
2020-06-21,1449,27980,139,29568,8.753148614609572,755,1247.4285714285713,636.4285714285714
2020-06-22,1538,30653,183,32374,10.63335270191749,576,1310.5714285714287,620.8571428571429
2020-06-23,1550,33168,165,34883,9.620991253644316,413,1363.7142857142858,610.0
2020-06-24,1499,35165,146,36810,8.875379939209726,415,1381.857142857143,594.2857142857143
2020-06-25,1437,36523,170,38130,10.578718108276291,746,1418.857142857143,604.5714285714286
2020-06-26,1483,38966,181,40630,10.877403846153848,692,1427.857142857143,605.7142857142857
2020-06-27,1157,33960,172,35289,12.942061700526711,2533,1444.7142857142858,875.7142857142857
2020-06-28,1131,32174,140,33445,11.014948859166012,706,1399.2857142857142,868.7142857142857
2020-06-29,1274,35442,159,36875,11.095603628750872,593,1361.5714285714287,871.1428571428571
2020-06-30,1678,37873,201,39752,10.697179350718468,439,1379.857142857143,874.8571428571429
2020-07-01,1657,37939,181,39777,9.84766050054407,461,1402.4285714285713,881.4285714285714
2020-07-02,1241,39943,183,41367,12.851123595505618,662,1374.4285714285713,869.4285714285714
2020-07-03,1343,36693,160,38196,10.645375914836992,782,1354.4285714285713,882.2857142857143
2020-07-04,1341,31154,151,32646,10.120643431635388,704,1380.7142857142858,621.0
2020-07-05,1259,30860,138,32257,9.87831066571224,810,1399.0,635.8571428571429
2020-07-06,1292,38517,163,39972,11.202749140893472,539,1401.5714285714287,628.1428571428571
2020-07-07,1341,41382,155,42878,10.36096256684492,460,1353.4285714285713,631.1428571428571
2020-07-08,1698,45055,211,46964,11.05290728129911,598,1359.2857142857142,650.7142857142857
2020-07-09,1536,41108,171,42815,10.01757469244288,928,1401.4285714285713,688.7142857142857
2020-07-10,1440,42133,201,43774,12.248628884826324,1079,1415.2857142857142,731.1428571428571
2020-07-11,1187,36224,165,37576,12.20414201183432,961,1393.2857142857142,767.8571428571429
2020-07-12,1155,37829,147,39131,11.29032258064516,964,1378.4285714285713,789.8571428571429
2020-07-13,1309,43860,189,45358,12.61682242990654,889,1380.857142857143,839.8571428571429
2020-07-14,1604,46832,210,48646,11.57662624035281,840,1418.4285714285713,894.1428571428571
2020-07-15,1654,45319,224,47197,11.92758253461129,731,1412.142857142857,913.1428571428571
2020-07-16,1531,45423,241,47195,13.600451467268623,914,1411.4285714285713,911.1428571428571
2020-07-17,1467,43513,235,45215,13.80728554641598,1122,1415.2857142857142,917.2857142857143
2020-07-18,1153,33590,150,34893,11.511895625479662,1089,1410.4285714285713,935.5714285714286
2020-07-19,1116,36468,152,37736,11.987381703470032,1081,1404.857142857143,952.2857142857143
2020-07-20,1306,40894,196,42396,13.049267643142477,1005,1404.4285714285713,968.8571428571429
2020-07-21,1433,40317,136,41886,8.667941363926067,932,1380.0,982.0
2020-07-22,1473,39938,157,41568,9.631901840490798,867,1354.142857142857,1001.4285714285714
2020-07-23,1424,39140,169,40733,10.608913998744509,1193,1338.857142857143,1041.2857142857142
2020-07-24,1302,41304,172,42778,11.668928086838534,1191,1315.2857142857142,1051.142857142857
2020-07-25,1156,33386,153,34695,11.688311688311687,1254,1315.7142857142858,1074.7142857142858
2020-07-26,1152,32825,143,34120,11.042471042471044,1284,1320.857142857143,1103.7142857142858
2020-07-27,1385,40945,179,42509,11.445012787723783,1148,1332.142857142857,1124.142857142857
2020-07-28,1707,44109,181,45997,9.58686440677966,951,1371.2857142857142,1126.857142857143
2020-07-29,1465,42485,184,44134,11.158277744087329,936,1370.142857142857,1136.7142857142858
2020-07-30,1506,47408,150,49064,9.057971014492754,1163,1381.857142857143,1132.4285714285713
2020-07-31,1351,43951,171,45473,11.23521681997372,1179,1388.857142857143,1130.7142857142858
2020-08-01,1017,34963,123,36103,10.789473684210527,1400,1369.0,1151.5714285714287
2020-08-02,1060,36218,141,37419,11.740216486261447,1369,1355.857142857143,1163.7142857142858
2020-08-03,1378,40488,166,42032,10.751295336787564,1164,1354.857142857143,1166.0
2020-08-04,1541,42780,234,44555,13.183098591549298,922,1331.142857142857,1161.857142857143
2020-08-05,1816,39168,336,41320,15.613382899628252,853,1381.2857142857142,1150.0
2020-08-06,1592,40120,185,41897,10.410804727068092,1072,1393.5714285714287,1137.0
2020-08-07,1579,36949,210,38738,11.73840134153158,1260,1426.142857142857,1148.5714285714287
2020-08-08,1313,32605,155,34073,10.558583106267031,1211,1468.4285714285713,1121.5714285714287
2020-08-09,1233,33253,141,34627,10.262008733624455,1317,1493.142857142857,1114.142857142857
2020-08-10,1474,38673,156,40303,9.570552147239264,1043,1506.857142857143,1096.857142857143
2020-08-11,1610,40893,177,42680,9.904868494683829,900,1516.7142857142858,1093.7142857142858
2020-08-12,1652,38249,195,40096,10.557661072008663,795,1493.2857142857142,1085.4285714285713
2020-08-13,1530,38846,183,40559,10.683012259194395,1098,1484.4285714285713,1089.142857142857
2020-08-14,1557,37294,180,39031,10.362694300518134,1326,1481.2857142857142,1098.5714285714287
2020-08-15,1547,30666,162,32375,9.479227618490343,1195,1514.7142857142858,1096.2857142857142
2020-08-16,1382,31050,162,32594,10.492227979274611,1047,1536.0,1057.7142857142858
2020-08-17,1542,34578,165,36285,9.666080843585236,952,1545.7142857142858,1044.7142857142858
2020-08-18,1611,35023,195,36829,10.79734219269103,889,1545.857142857143,1043.142857142857
2020-08-19,2040,33273,143,35456,6.550618415025195,637,1601.2857142857142,1020.5714285714286
2020-08-20,1830,34996,205,37031,10.073710073710076,928,1644.142857142857,996.2857142857143
2020-08-21,1641,32922,205,34768,11.105092091007585,1264,1656.142857142857,987.4285714285714
2020-08-22,1362,28486,147,29995,9.74155069582505,1000,1629.7142857142858,959.5714285714286
2020-08-23,1512,28746,149,30407,8.97049969897652,1007,1648.2857142857142,953.8571428571429
2020-08-24,1735,34444,194,36373,10.057024364955936,1006,1675.857142857143,961.5714285714286
2020-08-25,1625,33765,188,35578,10.369553226696084,836,1677.857142857143,954.0
2020-08-26,1804,33974,161,35939,8.193384223918574,584,1644.142857142857,946.4285714285714
2020-08-27,1866,32496,205,34567,9.898599710284886,880,1649.2857142857142,939.5714285714286
2020-08-28,1482,32453,170,34105,10.290556900726394,1062,1626.5714285714287,910.7142857142857
2020-08-29,1312,27217,130,28659,9.015256588072122,940,1619.4285714285713,902.1428571428571
2020-08-30,1264,28737,169,30170,11.79344033496162,1035,1584.0,906.1428571428571
2020-08-31,1326,34806,161,36293,10.827168796234028,839,1525.5714285714287,882.2857142857143
2020-09-01,1558,33510,183,35251,10.511200459506032,717,1516.0,865.2857142857143
2020-09-02,1677,38116,173,39966,9.35135135135135,553,1497.857142857143,860.8571428571429
2020-09-03,1647,35365,169,37181,9.306167400881057,860,1466.5714285714287,858.0
2020-09-04,1400,31346,162,32908,10.371318822023047,884,1454.857142857143,832.5714285714286
2020-09-05,1275,25322,145,26742,10.211267605633804,948,1449.5714285714287,833.7142857142857
