measurement,metric,label,direction,specification,dependent_variable,predictor_variable,n,selected_p,selected_q,candidate_models_fitted,bic,aic,bounds_f,pss_case,pss_k,pss_n,pss_covariance,pss_core_fixed_controls,pss_critical_value_method,pss_90_lower,pss_90_upper,pss_95_lower,pss_95_upper,pss_99_lower,pss_99_upper,pss_95_decision,ecm_coefficient,ecm_hac_se,ecm_pvalue,short_run_coefficient,short_run_hac_se,short_run_ci95_low,short_run_ci95_high,short_run_pvalue,long_run_coefficient,long_run_hac_se,long_run_ci95_low,long_run_ci95_high,long_run_pvalue,ljung_box_p_lag7,ljung_box_p_lag14,ljung_box_p_lag30,arch_lm_pvalue_lag7,jarque_bera_pvalue,cusum_pvalue,minimum_root_modulus,inference
NRC Emotion Lexicon,anger,Anger,COVID-to-climate,ECM,climate_anger_score_freq,covid_anger_score_freq,705,2,1,36,1790.4721906615139,1667.4008499855827,83.0355225377253,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.7015781153668486,0.053538895766772086,3.8778507120123953e-35,0.14394243380332206,0.05054556044689895,0.044873135327400115,0.243011732279244,0.004535693606983502,0.1322650323026268,0.05466878370919649,0.02511421623260167,0.2394158483726519,0.015546621667837844,0.32299811702422,0.631788685956009,0.38803642935501587,1.3683361807215463e-05,2.106804535168683e-05,0.7441027377291489,2.123810736381633,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,anticipation,Anticipation,climate-to-COVID,ECM,covid_anticipation_score_freq,climate_anticipation_score_freq,705,2,1,36,516.7887552091049,393.7174145331736,10.176457295094345,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.23906796563368657,0.031004007708948296,4.458309891018735e-14,0.020485740441591627,0.013713292698280284,-0.006392313247037731,0.04736379413022099,0.13567673376856007,0.06749848948725763,0.06841249250062273,-0.06658999581396292,0.2015869747884782,0.3238192404262277,0.5325586215890099,0.7244325536123932,0.8447389243462149,1.6695992176218612e-10,6.184899027769664e-15,0.9494586297667822,1.2268402715175413,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,trust,Trust,COVID-to-climate,ECM,climate_trust_score_freq,covid_trust_score_freq,705,4,1,36,1611.9070593206527,1479.719323039097,30.727822713503883,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.49875512115110177,0.06342561898468738,1.4758238383483332e-14,0.1553403231014229,0.07389432858433062,0.010507439076134883,0.3001732071267109,0.03590492612662867,0.2352676895668461,0.18061319398582862,-0.11873417064537797,0.5892695497790702,0.19270957421719137,0.8525115457917897,0.536425476454611,0.4301592515248665,0.007582665813668334,2.277991682328133e-06,0.9692509970679942,1.348605785562684,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,trust,Trust,climate-to-COVID,ECM,covid_trust_score_freq,climate_trust_score_freq,705,3,1,36,719.1813246968659,591.5517862181224,15.256620180032952,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.3429411186111651,0.05762790688421875,4.274256814551079e-09,0.045486317582482054,0.02168431571057883,0.002985058789747544,0.08798757637521656,0.03630484374351092,0.15253442139515141,0.08728258945303369,-0.018539453932794603,0.32360829672309743,0.08053456992529814,0.17523278096061645,0.21971328431567846,0.06408533370267008,1.8261333624670808e-13,2.7822976352938633e-121,0.8117392099749987,1.3083788638028782,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,surprise,Surprise,COVID-to-climate,ECM,climate_surprise_score_freq,covid_surprise_score_freq,705,2,1,36,1835.9450198779473,1712.873679202016,65.76851463625373,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.6337056936681849,0.05121165647723679,7.36102561409386e-32,0.12006259172706474,0.07047655300980955,-0.018071452172161995,0.25819663562629147,0.0889167639396214,0.217879123434271,0.08861956188670736,0.04418478213632457,0.39157346473221744,0.01394840085990953,0.33511320066443534,0.7770204320077697,0.4776437972055303,0.139402449801234,3.737817521499251e-36,0.8653629705383097,1.9497842017351295,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,surprise,Surprise,climate-to-COVID,ECM,covid_surprise_score_freq,climate_surprise_score_freq,705,2,1,36,1440.6201379249349,1317.5487972490037,30.185468584711543,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.36432120139157376,0.05282128670770771,1.2157210978900405e-11,0.06464721990037,0.04034554699022489,-0.014430052200470778,0.1437244920012108,0.10954586662161732,0.2104327456811735,0.16381508449569882,-0.11064481993039618,0.5315103112927432,0.1989408746753102,0.021454286823626503,0.06577375432005168,0.0006558405996999238,0.9105947042072874,0.0,0.8823623140031018,1.4494032344307195,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,negative,Negative emotion,COVID-to-climate,ECM,climate_negative_score_freq,covid_negative_score_freq,705,4,1,36,1835.2348177675929,1703.047081486037,32.12044102600589,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.5066849689346632,0.08684574078391259,8.37228193069178e-09,0.317554258363616,0.11443038472235839,0.09327070430779355,0.5418378124194385,0.005670982483588336,0.41195757271330563,0.15657475493622589,0.10507105303830289,0.7188440923883084,0.008511901024999935,0.670543367998102,0.32278116184970657,0.1293133756291993,0.020592303030028417,0.36376878522668105,0.8966151709586442,1.3242763977613468,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,negative,Negative emotion,climate-to-COVID,ECM,covid_negative_score_freq,climate_negative_score_freq,705,2,1,36,346.0914307102123,223.02009003428108,24.165330825461655,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.2525189700915242,0.029642392839728287,1.0368011660471363e-16,0.03946979715396003,0.014048487950341448,0.011934760771290794,0.06700483353662927,0.005103995635269203,0.11322654888049162,0.055629996637524465,0.004191755470943678,0.22226134229003958,0.04181560484030233,0.01067323988142868,0.017278648460882937,0.05543933060629171,2.527892779572091e-12,6.70287219773998e-174,0.9395548471062474,1.249633518217799,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,positive,Positive emotion,COVID-to-climate,ECM,climate_positive_score_freq,covid_positive_score_freq,705,4,1,36,1768.2660157880734,1636.0782795065177,27.590874918498734,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.43742371862229895,0.05351252670762762,1.4665603259878409e-15,0.1279373353785231,0.11504623721515159,-0.09755328956317402,0.35342796032022017,0.26651076589644357,0.3317019121120612,0.2638390654491763,-0.18542265616832437,0.8488264803924468,0.20867650462592524,0.9773017509427907,0.9605749430760607,0.5196104791684679,0.3087468291092762,0.11160142804446821,0.9995704212127469,1.3208227945188373,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,positive,Positive emotion,climate-to-COVID,ECM,covid_positive_score_freq,climate_positive_score_freq,705,2,1,36,202.23867635363524,79.167335677704,7.747536484291658,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.2554382231852886,0.0467959141411654,6.735892345662575e-08,0.01860672730098928,0.013046280929412079,-0.006963983320658396,0.04417743792263695,0.15426753120762574,0.06270063310462494,0.058803696581654276,-0.05255461219541743,0.1779558784046673,0.2863014873005786,0.6311474940513218,0.17301393830709788,0.6294585154918153,0.0001645575726584216,5.642431961954865e-79,0.5673326029426589,1.24825561034136,exact two-sided Newey-West HAC(7) p values reported
LIWC-22,emo_anger,Anger,COVID-to-climate,ECM,climate_liwc_emo_anger_pct,covid_liwc_emo_anger_pct,705,1,1,36,2022.171133294395,1903.657990421276,246.59969878699474,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.8785169932408126,0.03820767690375194,5.376804662845644e-87,0.1727155319875535,0.09492395514749129,-0.013335420101529438,0.3587664840766364,0.06927253375273712,0.03922915819881539,0.11443738261219563,-0.18506811172108803,0.2635264281187188,0.7317487718547744,0.8262897007271102,0.7319820455080184,0.795786033784867,0.12896062825177143,2.1626344039419227e-22,0.7063972653716808,8.231603964019941,exact two-sided Newey-West HAC(7) p values reported
