date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death
2020-07-17,1467,43513,235,45215,13.807285546415981,1122
2020-07-18,1153,33590,150,34893,11.511895625479662,1089
2020-07-19,1116,36468,152,37736,11.987381703470032,1081
2020-07-20,1306,40894,196,42396,13.049267643142477,1005
2020-07-21,1433,40317,136,41886,8.667941363926067,932
2020-07-22,1473,39938,157,41568,9.631901840490798,867
2020-07-23,1424,39140,169,40733,10.608913998744507,1193
2020-07-24,1302,41304,172,42778,11.668928086838534,1191
2020-07-25,1156,33386,153,34695,11.688311688311687,1254
2020-07-26,1152,32825,143,34120,11.042471042471043,1284
2020-07-27,1385,40945,179,42509,11.445012787723785,1148
2020-07-28,1707,44109,181,45997,9.586864406779661,951
2020-07-29,1465,42485,184,44134,11.158277744087327,936
2020-07-30,1506,47408,150,49064,9.057971014492754,1163
2020-07-31,1351,43951,171,45473,11.235216819973719,1179
2020-08-01,1017,34963,123,36103,10.789473684210527,1400
2020-08-02,1060,36218,141,37419,11.740216486261449,1369
2020-08-03,1378,40488,166,42032,10.751295336787564,1164
2020-08-04,1541,42780,234,44555,13.183098591549298,922
2020-08-05,1816,39168,336,41320,15.613382899628252,853
2020-08-06,1592,40120,185,41897,10.410804727068092,1072
2020-08-07,1579,36949,210,38738,11.738401341531581,1260
2020-08-08,1313,32605,155,34073,10.558583106267031,1211
2020-08-09,1233,33253,141,34627,10.262008733624455,1317
2020-08-10,1474,38673,156,40303,9.570552147239264,1043
2020-08-11,1610,40893,177,42680,9.904868494683827,900
2020-08-12,1652,38249,195,40096,10.557661072008663,795
2020-08-13,1530,38846,183,40559,10.683012259194395,1098
2020-08-14,1557,37294,180,39031,10.362694300518134,1326
2020-08-15,1547,30666,162,32375,9.479227618490345,1195
2020-08-16,1382,31050,162,32594,10.492227979274611,1047
2020-08-17,1542,34578,165,36285,9.666080843585236,952
2020-08-18,1611,35023,195,36829,10.79734219269103,889
2020-08-19,2040,33273,143,35456,6.550618415025195,637
