date,family,measure,group,group_key,score_percent,n_comments
2020-06-26,NRC,Sadness,Climate-only,climate,1.691159712659995,1483
2020-06-27,NRC,Sadness,Climate-only,climate,1.7377846872070313,1157
2020-06-28,NRC,Sadness,Climate-only,climate,1.6834919810788358,1131
2020-06-29,NRC,Sadness,Climate-only,climate,1.7287432143803974,1274
2020-06-30,NRC,Sadness,Climate-only,climate,1.5763477085730042,1678
2020-07-01,NRC,Sadness,Climate-only,climate,1.64779171543923,1657
2020-07-02,NRC,Sadness,Climate-only,climate,1.7621741235352202,1241
2020-07-03,NRC,Sadness,Climate-only,climate,1.7691521491562625,1343
2020-07-04,NRC,Sadness,Climate-only,climate,1.682098694914293,1341
2020-07-05,NRC,Sadness,Climate-only,climate,1.613336687605409,1259
2020-07-06,NRC,Sadness,Climate-only,climate,1.7483211632208835,1292
2020-07-07,NRC,Sadness,Climate-only,climate,1.7049607641012203,1341
2020-07-08,NRC,Sadness,Climate-only,climate,1.639353782086185,1698
2020-07-09,NRC,Sadness,Climate-only,climate,1.6140764524511353,1536
2020-07-10,NRC,Sadness,Climate-only,climate,1.680586319484514,1440
2020-07-11,NRC,Sadness,Climate-only,climate,1.674078110856547,1187
2020-07-12,NRC,Sadness,Climate-only,climate,1.793417011664178,1155
2020-07-13,NRC,Sadness,Climate-only,climate,1.7926568098287676,1309
2020-07-14,NRC,Sadness,Climate-only,climate,1.677198551299946,1604
2020-07-15,NRC,Sadness,Climate-only,climate,1.831531286541198,1654
2020-07-16,NRC,Sadness,Climate-only,climate,1.6273684051371926,1531
2020-07-17,NRC,Sadness,Climate-only,climate,1.6519572681318455,1467
2020-07-18,NRC,Sadness,Climate-only,climate,1.7961501431762672,1153
2020-07-19,NRC,Sadness,Climate-only,climate,1.811218057909319,1116
2020-07-20,NRC,Sadness,Climate-only,climate,1.7791740152333866,1306
2020-07-21,NRC,Sadness,Climate-only,climate,1.663240471423022,1433
2020-07-22,NRC,Sadness,Climate-only,climate,1.7203588340796023,1473
2020-07-23,NRC,Sadness,Climate-only,climate,1.6745005073493926,1424
2020-07-24,NRC,Sadness,Climate-only,climate,1.7064449095253815,1302
2020-07-25,NRC,Sadness,Climate-only,climate,1.6810190813800003,1156
2020-07-26,NRC,Sadness,Climate-only,climate,1.6983505907093308,1152
2020-07-27,NRC,Sadness,Climate-only,climate,1.7670886644376242,1385
2020-07-28,NRC,Sadness,Climate-only,climate,1.6599670622523317,1707
2020-07-29,NRC,Sadness,Climate-only,climate,1.7606684327206257,1465
2020-07-30,NRC,Sadness,Climate-only,climate,1.6473521036834002,1506
2020-07-31,NRC,Sadness,Climate-only,climate,1.624834493530416,1351
2020-08-01,NRC,Sadness,Climate-only,climate,1.7926365092348209,1017
2020-08-02,NRC,Sadness,Climate-only,climate,1.8159090405382048,1060
2020-08-03,NRC,Sadness,Climate-only,climate,1.7086048152566642,1378
2020-08-04,NRC,Sadness,Climate-only,climate,1.7206497294603955,1541
2020-08-05,NRC,Sadness,Climate-only,climate,1.7336959308461382,1816
2020-08-06,NRC,Sadness,Climate-only,climate,1.683317767272772,1592
2020-08-07,NRC,Sadness,Climate-only,climate,1.6401345196920205,1579
2020-08-08,NRC,Sadness,Climate-only,climate,1.6922114253582397,1313
2020-08-09,NRC,Sadness,Climate-only,climate,1.751638468793524,1233
2020-08-10,NRC,Sadness,Climate-only,climate,1.71730044777003,1474
2020-08-11,NRC,Sadness,Climate-only,climate,1.7039225249037695,1610
2020-08-12,NRC,Sadness,Climate-only,climate,1.7860008174686386,1652
2020-08-13,NRC,Sadness,Climate-only,climate,1.7355487769991869,1530
2020-08-14,NRC,Sadness,Climate-only,climate,1.7810868699197495,1557
2020-08-15,NRC,Sadness,Climate-only,climate,1.7523191934376925,1547
2020-08-16,NRC,Sadness,Climate-only,climate,1.8066142787290933,1382
2020-08-17,NRC,Sadness,Climate-only,climate,1.726588835639113,1542
2020-08-18,NRC,Sadness,Climate-only,climate,1.691971109283969,1611
2020-08-19,NRC,Sadness,Climate-only,climate,1.6306739932516898,2040
2020-08-20,NRC,Sadness,Climate-only,climate,1.7061219741973874,1830
2020-08-21,NRC,Sadness,Climate-only,climate,1.7462592708858564,1641
2020-08-22,NRC,Sadness,Climate-only,climate,1.6627397344962596,1362
2020-08-23,NRC,Sadness,Climate-only,climate,1.6666643490527897,1512
2020-08-24,NRC,Sadness,Climate-only,climate,1.7011243276895665,1735
2020-08-25,NRC,Sadness,Climate-only,climate,1.732051892737061,1625
2020-08-26,NRC,Sadness,Climate-only,climate,1.6685401182834088,1804
2020-08-27,NRC,Sadness,Climate-only,climate,1.7682350890758545,1866
2020-08-28,NRC,Sadness,Climate-only,climate,1.613419928358401,1482
2020-08-29,NRC,Sadness,Climate-only,climate,1.799188018630132,1312
2020-08-30,NRC,Sadness,Climate-only,climate,1.7137594769939304,1264
2020-08-31,NRC,Sadness,Climate-only,climate,1.7662845666559306,1326
2020-09-01,NRC,Sadness,Climate-only,climate,1.716859524630083,1558
2020-09-02,NRC,Sadness,Climate-only,climate,1.6962430075313757,1677
2020-09-03,NRC,Sadness,Climate-only,climate,1.7031509187651137,1647
2020-09-04,NRC,Sadness,Climate-only,climate,1.7761667560836478,1400
2020-09-05,NRC,Sadness,Climate-only,climate,1.6759699414658484,1275
2020-09-06,NRC,Sadness,Climate-only,climate,1.7229064843320545,1417
2020-09-07,NRC,Sadness,Climate-only,climate,1.6811940210845695,1896
2020-09-08,NRC,Sadness,Climate-only,climate,1.5666346117701864,2127
2020-09-09,NRC,Sadness,Climate-only,climate,1.710708928695651,2076
2020-09-10,NRC,Sadness,Climate-only,climate,1.776545710236709,3070
2020-09-11,NRC,Sadness,Climate-only,climate,1.7460086747192995,2682
2020-09-12,NRC,Sadness,Climate-only,climate,1.7145961740300757,2775
2020-09-13,NRC,Sadness,Climate-only,climate,1.637272506392304,2740
2020-09-14,NRC,Sadness,Climate-only,climate,1.640704165248451,3213
2020-09-15,NRC,Sadness,Climate-only,climate,1.5392469452306854,4721
2020-09-16,NRC,Sadness,Climate-only,climate,1.6619274917255609,3424
2020-09-17,NRC,Sadness,Climate-only,climate,1.6129717253526403,2654
2020-09-18,NRC,Sadness,Climate-only,climate,1.6226402686666632,2649
2020-09-19,NRC,Sadness,Climate-only,climate,1.7505472079170292,2065
2020-09-20,NRC,Sadness,Climate-only,climate,1.7831601952056333,1704
2020-09-21,NRC,Sadness,Climate-only,climate,1.7392317662343686,2087
2020-09-22,NRC,Sadness,Climate-only,climate,1.6490635273804035,1932
2020-09-23,NRC,Sadness,Climate-only,climate,1.7234193684354702,2221
2020-09-24,NRC,Sadness,Climate-only,climate,1.6604913115358717,2440
2020-09-25,NRC,Sadness,Climate-only,climate,1.7090254270947447,1774
2020-09-26,NRC,Sadness,Climate-only,climate,1.7130822134819474,1655
2020-09-27,NRC,Sadness,Climate-only,climate,1.72263071786705,1647
2020-09-28,NRC,Sadness,Climate-only,climate,1.7835757172297573,2195
2020-09-29,NRC,Sadness,Climate-only,climate,1.6993309897011544,2116
2020-09-30,NRC,Sadness,Climate-only,climate,1.616064352778896,3341
2020-10-01,NRC,Sadness,Climate-only,climate,1.588500728565183,2115
2020-10-02,NRC,Sadness,Climate-only,climate,1.697628187224516,1677
2020-10-03,NRC,Sadness,Climate-only,climate,1.6934353209221022,1205
2020-10-04,NRC,Sadness,Climate-only,climate,1.655754451083457,1449
2020-10-05,NRC,Sadness,Climate-only,climate,1.727748594177297,1608
2020-10-06,NRC,Sadness,Climate-only,climate,1.5835915323762804,1592
2020-10-07,NRC,Sadness,Climate-only,climate,1.6168274393283546,1671
2020-10-08,NRC,Sadness,Climate-only,climate,1.6167683173843408,2562
2020-10-09,NRC,Sadness,Climate-only,climate,1.651008637304412,1662
2020-10-10,NRC,Sadness,Climate-only,climate,1.629989941140296,1655
2020-10-11,NRC,Sadness,Climate-only,climate,1.6603453689046523,1599
2020-10-12,NRC,Sadness,Climate-only,climate,1.6953625450626089,1580
2020-10-13,NRC,Sadness,Climate-only,climate,1.652144361096159,1778
2020-10-14,NRC,Sadness,Climate-only,climate,1.6219377420663614,2358
2020-10-15,NRC,Sadness,Climate-only,climate,1.605399575917441,2011
2020-10-16,NRC,Sadness,Climate-only,climate,1.594584906082648,1911
2020-10-17,NRC,Sadness,Climate-only,climate,1.6435312477159802,1436
2020-10-18,NRC,Sadness,Climate-only,climate,1.7310872782704207,1525
