measurement,metric,label,direction,n,ljung_box_p_lag7,ljung_box_p_lag14,ljung_box_p_lag30,arch_lm_pvalue_lag7,jarque_bera_pvalue,cusum_pvalue,minimum_root_modulus
LIWC-22,emo_sad,Sadness,climate-to-COVID,705,0.3610893063117942,0.7073128768194427,0.131621143730204,0.2773583691681718,2.373474797682048e-120,0.7450226445789672,1.8376563013212324
LIWC-22,emo_anx,Anxiety,COVID-to-climate,705,0.5123007525501041,0.2424819426957117,0.6040956863271973,0.0004091283951072,3.509258941981023e-122,0.994883588244902,6.424778844589649
LIWC-22,emo_anx,Anxiety,climate-to-COVID,705,0.2978391075467221,0.2050815978023849,0.2418339237955704,2.0160126083241724e-05,0.0,0.7301788047735533,1.2499735454229846
LIWC-22,emo_neg,Negative emotion,COVID-to-climate,705,0.5605855649188044,0.4039715977492266,0.8148560145815538,0.0046174312066073,2.8821651238875623e-16,0.9875132958948644,12.883585472891257
LIWC-22,emo_neg,Negative emotion,climate-to-COVID,705,0.1435458184099296,0.1054372569677488,0.2206788898978054,2.5763910718447305e-10,3.000237875718641e-35,0.8400587377014522,1.1873297306918802
LIWC-22,emo_pos,Positive emotion,COVID-to-climate,705,0.5556407589882706,0.3914106343009806,0.4608590074824507,0.0230832793181098,2.4107672864061692e-186,0.8408327733237604,5.756907625980858
LIWC-22,emo_pos,Positive emotion,climate-to-COVID,705,0.9238667738575294,0.8180076075213059,0.5661829764956223,3.141298759653333e-11,6.608267283393167e-78,0.9104021628666294,1.0937748864111
VADER,negative,Negative sentiment,COVID-to-climate,705,0.0538936654554929,0.0420869042276021,0.1308049069182659,0.0012208126376382,9.773256710708311e-10,0.9490441641915238,1.9054936697626947
VADER,negative,Negative sentiment,climate-to-COVID,705,0.1108005839968249,0.0423163294638413,0.0362442346299934,1.9191998806869988e-09,1.089311000560905e-226,0.9735818862388058,1.187263630064956
VADER,positive,Positive sentiment,COVID-to-climate,705,0.9709129339690828,0.8751835933613631,0.8899010944805021,0.5445380166040863,0.0,0.9602029453814525,1.323667806500266
VADER,positive,Positive sentiment,climate-to-COVID,705,0.0609932304052012,0.0288198193647329,0.1603198578236413,2.146546202861573e-06,6.63258335681709e-21,0.80164794991222,1.2225631112400646
